,decision,optimal_auc,imitation_auc,optimal_acc,imitation_acc
0,0,0.89568345323741,0.620706106870229,0.9455782312925171,0.891156462585034
1,1,-1.0,0.7570652173913044,1.0,0.7755102040816326
2,2,-1.0,0.8283534647171011,1.0,0.8299319727891157
