,count,hpv_1,hpv_0,hpv_-1,age,packs_per_year,gender,smoking_status_0.0,smoking_status_1.0,smoking_status_0.5,Aspiration rate Pre-therapy,total_dose,dose_fraction,OS (Calculated),Locoregional control (Time),FDM (months),time_to_event,"Overall Survival (1=alive, 0=dead)",LRC,DC,bilateral,White/Caucasion,Hispanic/Latino,African American/Black,Asian,cc_none,cc_platinum,cc_cetuximab,cc_others,no_dose_adjustment,dose_modified,dose_delayed,dose_cancelled,dose_delayed_&_modified,regiment_modification,T-category_1,T-category_2,T-category_3,T-category_4,N-category_0,N-category_1,N-category_2,N-category_3,AJCC_1,AJCC_2,AJCC_3,AJCC_4,Pathological Grade_0,Pathological Grade_1,Pathological Grade_2,Pathological Grade_3,Pathological Grade_4,subsite_BOT,subsite_GPS,subsite_NOS,subsite_Soft palate,subsite_Tonsil,treatment_CC,treatment_IC+CC,treatment_IC+Radiation alone,treatment_Radiation alone,DLT_Dermatological,DLT_Neurological,DLT_Gastrointestinal,DLT_Hematological,DLT_Nephrological,DLT_Vascular_0,DLT_Vascular_1,DLT_Vascular_3,DLT_Infection (Pneumonia),DLT_Other,DLT_Dermatological 2,DLT_Neurological 2,DLT_Gastrointestinal 2,DLT_Hematological 2,DLT_Nephrological 2,DLT_Vascular 2,DLT_Infection (Pneumonia) 2,DLT_Other 2,CR Primary,PR Primary,SD Primary,CR Nodal,PR Nodal,SD Nodal,CR Primary 2,PR Primary 2,SD Primary 2,CR Nodal 2,PR Nodal 2,SD Nodal 2,Decision 1 (Induction Chemo) Y/N,Decision 2 (CC / RT alone),Decision 3 Neck Dissection (Y/N),Overall Survival (4 Years),FT,Aspiration rate Post-therapy,1A_ipsi,1A_contra,1B_ipsi,1B_contra,2A_ipsi,2A_contra,2B_ipsi,2B_contra,3_ipsi,3_contra,4_ipsi,4_contra,5A_ipsi,5A_contra,5B_ipsi,5B_contra,6_ipsi,6_contra,RPLN_ipsi,RPLN_contra
010,223.0,0.5650224215246636,0.3721973094170404,0.06278026905829596,59.250411061390125,17.6390134529148,0.8834080717488789,0.38565022421524664,0.19282511210762332,0.42152466367713004,0.02242152466367713,68.99300448430493,2.0978008564887896,76.25799701110314,74.45934230292376,74.68908819195066,57.439461884165915,0.7533632286995515,0.9103139013452914,0.8968609865470852,0.04484304932735426,0.9327354260089686,0.03139013452914798,0.02242152466367713,0.008968609865470852,0.0,0.5560538116591929,0.3632286995515695,0.08071748878923767,1.0,0.0,0.0,0.0,0.0,0.0,0.18834080717488788,0.42152466367713004,0.24663677130044842,0.14349775784753363,0.05829596412556054,0.5291479820627802,0.39461883408071746,0.017937219730941704,0.38565022421524664,0.15246636771300448,0.09417040358744394,0.36771300448430494,0.19282511210762332,0.008968609865470852,0.2825112107623318,0.5067264573991032,0.008968609865470852,0.5022421524663677,0.008968609865470852,0.06726457399103139,0.008968609865470852,0.4125560538116592,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04035874439461883,0.053811659192825115,0.06726457399103139,0.053811659192825115,0.0,0.0,0.0,0.06278026905829596,0.0,0.0,0.0,0.0,0.0,0.0,0.8340807174887892,0.16143497757847533,0.0,0.5201793721973094,0.43946188340807174,0.004484304932735426,0.0,1.0,0.0,0.852017937219731,0.17488789237668162,0.17488789237668162,0.004484304932735426,0.0,0.04484304932735426,0.004484304932735426,0.8878923766816144,0.13004484304932734,0.8789237668161435,0.13004484304932734,0.32286995515695066,0.06278026905829596,0.017937219730941704,0.008968609865470852,0.013452914798206279,0.0,0.0,0.0,0.0,0.0,0.05829596412556054,0.004484304932735426
000,57.0,0.8070175438596491,0.17543859649122806,0.017543859649122806,61.30969785508771,10.526315789473685,0.8070175438596491,0.40350877192982454,0.19298245614035087,0.40350877192982454,0.0,66.8621052631579,2.1632854864210525,71.24152046784211,67.62807017661403,70.9959064327544,64.06959064380702,0.8245614035087719,0.9298245614035088,0.9649122807017544,0.03508771929824561,0.8947368421052632,0.03508771929824561,0.017543859649122806,0.017543859649122806,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.3333333333333333,0.03508771929824561,0.0,0.07017543859649122,0.8070175438596491,0.12280701754385964,0.0,0.7719298245614035,0.05263157894736842,0.05263157894736842,0.12280701754385964,0.14035087719298245,0.0,0.3157894736842105,0.543859649122807,0.0,0.3508771929824561,0.017543859649122806,0.07017543859649122,0.017543859649122806,0.543859649122807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9122807017543859,0.07017543859649122,0.0,0.5263157894736842,0.3508771929824561,0.0,0.0,0.0,0.0,0.8596491228070176,0.05263157894736842,0.03508771929824561,0.0,0.0,0.03508771929824561,0.03508771929824561,0.8596491228070176,0.05263157894736842,0.8245614035087719,0.05263157894736842,0.24561403508771928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011,51.0,0.5490196078431373,0.37254901960784315,0.0784313725490196,57.71399782117647,18.88235294117647,0.9215686274509803,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.0196078431372549,69.46666666666667,2.0773968677450982,80.5235294117647,67.2810457535098,77.9535947717647,49.06862745213725,0.7058823529411765,0.6862745098039216,0.8627450980392157,0.058823529411764705,0.9607843137254902,0.0196078431372549,0.0,0.0196078431372549,0.0,0.5294117647058824,0.4117647058823529,0.058823529411764705,1.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.5490196078431373,0.21568627450980393,0.17647058823529413,0.0392156862745098,0.5294117647058824,0.43137254901960786,0.0,0.3137254901960784,0.1568627450980392,0.13725490196078433,0.39215686274509803,0.1568627450980392,0.0,0.27450980392156865,0.5686274509803921,0.0,0.47058823529411764,0.0196078431372549,0.058823529411764705,0.0392156862745098,0.4117647058823529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.6862745098039216,0.2549019607843137,0.0196078431372549,0.17647058823529413,0.803921568627451,0.0196078431372549,0.0,1.0,1.0,0.8431372549019608,0.21568627450980393,0.2549019607843137,0.0,0.0,0.0196078431372549,0.0,0.8823529411764706,0.13725490196078433,0.8823529411764706,0.13725490196078433,0.27450980392156865,0.0784313725490196,0.058823529411764705,0.0,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0,0.0,0.0784313725490196,0.0196078431372549
110,100.0,0.5,0.34,0.16,58.537833333399995,17.63,0.87,0.44,0.22,0.34,0.07,69.3572,2.1133053028899997,74.0983333323,71.36266666537,72.383333332467,50.32633333230001,0.75,0.85,0.9,0.04,0.86,0.05,0.09,0.0,0.0,0.82,0.16,0.02,0.54,0.12,0.06,0.12,0.02,0.14,0.06,0.33,0.29,0.32,0.0,0.27,0.65,0.08,0.13,0.16,0.22,0.49,0.21,0.03,0.28,0.48,0.0,0.56,0.02,0.05,0.01,0.36,0.0,1.0,0.0,0.0,0.13,0.14,0.17,0.11,0.03,0.98,0.01,0.01,0.01,0.14,0.02,0.06,0.08,0.08,0.0,0.0,0.0,0.05,0.34,0.52,0.07,0.1,0.75,0.08,0.9,0.1,0.0,0.58,0.34,0.04,1.0,1.0,0.0,0.85,0.25,0.22,0.03,0.0,0.09,0.04,0.89,0.44,0.87,0.43,0.58,0.16,0.21,0.05,0.03,0.0,0.02,0.02,0.0,0.0,0.14,0.03
111,36.0,0.6111111111111112,0.2777777777777778,0.1111111111111111,58.268904322222234,21.75,0.9166666666666666,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.05555555555555555,69.33277777777778,2.0836616160555557,74.46759259666666,63.849074077861104,69.55833333666666,33.21666666833334,0.6111111111111112,0.6944444444444444,0.8055555555555556,0.027777777777777776,0.8611111111111112,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.3055555555555556,0.027777777777777776,0.6666666666666666,0.027777777777777776,0.08333333333333333,0.1111111111111111,0.027777777777777776,0.08333333333333333,0.1388888888888889,0.2777777777777778,0.2777777777777778,0.3055555555555556,0.0,0.16666666666666666,0.75,0.08333333333333333,0.1388888888888889,0.2222222222222222,0.25,0.3888888888888889,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556,0.0,0.5555555555555556,0.08333333333333333,0.027777777777777776,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.1388888888888889,0.05555555555555555,0.1111111111111111,0.1388888888888889,0.0,1.0,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0,0.027777777777777776,0.3888888888888889,0.5555555555555556,0.027777777777777776,0.027777777777777776,0.8888888888888888,0.05555555555555555,0.7222222222222222,0.19444444444444445,0.0,0.19444444444444445,0.7777777777777778,0.027777777777777776,1.0,1.0,1.0,0.75,0.3888888888888889,0.4166666666666667,0.027777777777777776,0.0,0.19444444444444445,0.027777777777777776,0.8888888888888888,0.5555555555555556,0.8611111111111112,0.5555555555555556,0.5555555555555556,0.25,0.3611111111111111,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.0,0.0,0.1388888888888889,0.027777777777777776
100,45.0,0.4222222222222222,0.5555555555555556,0.022222222222222223,57.63216049422222,15.355555555555556,0.8888888888888888,0.4222222222222222,0.24444444444444444,0.3333333333333333,0.022222222222222223,67.42044444444444,2.152673400644445,87.79777777955556,86.54222222466666,84.33925926111111,77.54000000244444,0.8666666666666667,0.9111111111111111,0.8888888888888888,0.022222222222222223,0.9333333333333333,0.044444444444444446,0.022222222222222223,0.0,1.0,0.0,0.0,0.0,0.5777777777777777,0.15555555555555556,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.15555555555555556,0.28888888888888886,0.4888888888888889,0.17777777777777778,0.044444444444444446,0.0,0.2222222222222222,0.7333333333333333,0.044444444444444446,0.2,0.2222222222222222,0.0,0.5777777777777777,0.24444444444444444,0.0,0.28888888888888886,0.4666666666666667,0.0,0.5777777777777777,0.0,0.022222222222222223,0.0,0.4,0.0,0.0,1.0,0.0,0.2,0.08888888888888889,0.17777777777777778,0.17777777777777778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.28888888888888886,0.022222222222222223,0.1111111111111111,0.8666666666666667,0.0,0.9111111111111111,0.044444444444444446,0.022222222222222223,0.5777777777777777,0.37777777777777777,0.022222222222222223,1.0,0.0,0.0,0.9111111111111111,0.08888888888888889,0.08888888888888889,0.0,0.0,0.044444444444444446,0.0,0.9333333333333333,0.3333333333333333,0.8666666666666667,0.3333333333333333,0.5555555555555556,0.17777777777777778,0.044444444444444446,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.06666666666666667,0.0
001,11.0,0.5454545454545454,0.2727272727272727,0.18181818181818182,59.59772727181817,16.727272727272727,0.8181818181818182,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.0,68.04545454545455,2.169294342,98.5727272790909,72.10000000336363,94.85757575790909,58.11515151245454,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.0,0.9090909090909091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453,0.0,0.0,0.09090909090909091,0.6363636363636364,0.2727272727272727,0.0,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.36363636363636365,0.0,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,1.0,0.8181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
101,13.0,0.6153846153846154,0.3076923076923077,0.07692307692307693,57.001709400769236,4.846153846153846,0.9230769230769231,0.6923076923076923,0.0,0.3076923076923077,0.0,67.23076923076923,2.1757575756923075,97.21282051307693,94.07179487230769,97.21282051307693,92.63589743615384,1.0,0.8461538461538461,1.0,0.0,0.9230769230769231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.46153846153846156,0.07692307692307693,0.0,0.07692307692307693,0.0,0.38461538461538464,0.3076923076923077,0.6153846153846154,0.07692307692307693,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.5384615384615384,0.07692307692307693,0.0,0.38461538461538464,0.23076923076923078,0.0,0.07692307692307693,0.6153846153846154,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.0,0.3076923076923077,0.0,0.0,1.0,0.0,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.0,0.8461538461538461,0.0,0.9230769230769231,0.07692307692307693,0.0,0.07692307692307693,0.6923076923076923,0.15384615384615385,1.0,0.0,1.0,1.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.8461538461538461,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.7692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
